Page,Section,Component,Usage,Image Path,Image Source Type,Viewport,Device Pixel Ratio,Measurement Basis,Full Component Width,Full Component Height,Image Viewport Width,Image Viewport Height,Display Aspect Ratio,Natural Width,Natural Height,Source Aspect Ratio,Current File Size Bytes,Object Fit,Object Position,Overflow,Border Radius,Opacity / Overlay,Cover Scale,Rendered Width,Rendered Height,Overflow CSS Pixels,Crop Direction,Visible Percentage,Crop Percentage,Crop Per Side,Recommended Width,Recommended Height,Recommended Aspect Ratio,Safe Area Horizontal,Safe Area Vertical,Text Overlay Position,Text-free Side EN,Text-free Side AR,Recommended Format,Recommended Max File Size,Notes
About,Hero,AboutHero,Background,/site-images/about/hero-section/background.png,Local,Desktop 1440x900,1,Browser measured,1425,954.53,1425,954.53,1.4929,1717,916,1.8745,1673560,background (cover),50% 50%,hidden,0px,Base image; content overlays,1.0421,1789.22,954.53,364.22 horizontal,Left and right,79.64%,20.36%,10.18% left + 10.18% right,2000,2500,4:5,25%-75%,20%-80%,None,left/right should remain quiet,left/right should remain quiet,WebP,450 KB,Very severe mobile horizontal crop
About,Hero,AboutHero,Background,/site-images/about/hero-section/background.png,Local,Laptop 1280x800,1,Browser measured,1265,945.73,1265,945.73,1.3376,1717,916,1.8745,1673560,background (cover),50% 50%,hidden,0px,Base image; content overlays,1.0325,1772.73,945.73,507.73 horizontal,Left and right,71.36%,28.64%,14.32% left + 14.32% right,2000,2500,4:5,25%-75%,20%-80%,None,left/right should remain quiet,left/right should remain quiet,WebP,450 KB,Very severe mobile horizontal crop
About,Hero,AboutHero,Background,/site-images/about/hero-section/background.png,Local,Tablet 768x1024,1,Browser measured,753,1145.92,753,1145.92,0.6571,1717,916,1.8745,1673560,background (cover),50% 50%,hidden,0px,Base image; content overlays,1.2510,2147.97,1145.92,1394.97 horizontal,Left and right,35.06%,64.94%,32.47% left + 32.47% right,2000,2500,4:5,25%-75%,20%-80%,None,left/right should remain quiet,left/right should remain quiet,WebP,450 KB,Very severe mobile horizontal crop
About,Hero,AboutHero,Background,/site-images/about/hero-section/background.png,Local,Mobile 390x844,1,Browser measured,375,1100.06,375,1100.06,0.3409,1717,916,1.8745,1673560,background (cover),50% 50%,hidden,0px,Base image; content overlays,1.2009,2062.01,1100.06,1687.01 horizontal,Left and right,18.19%,81.81%,40.91% left + 40.91% right,2000,2500,4:5,25%-75%,20%-80%,None,left/right should remain quiet,left/right should remain quiet,WebP,450 KB,Very severe mobile horizontal crop
About,Hero,AboutHeroPortrait,Foreground portrait,/site-images/about/hero-section/roastery.png,Local,Desktop 1440x900,1,Browser measured,549.11,732.14,547.11,730.14,0.7493,1024,1536,0.6667,1812504,cover,50% 50%,hidden,24px,,0.5343,547.11,820.66,90.52 vertical,Top and bottom,88.97%,11.03%,5.52% top + 5.52% bottom,1200,1600,3:4,10%-90%,10%-90%,None,None,None,WebP,220 KB,3:4 viewport
About,Hero,AboutHeroPortrait,Foreground portrait,/site-images/about/hero-section/roastery.png,Local,Laptop 1280x800,1,Browser measured,542.52,723.34,540.52,721.34,0.7493,1024,1536,0.6667,1812504,cover,50% 50%,hidden,24px,,0.5279,540.52,810.78,89.44 vertical,Top and bottom,88.97%,11.03%,5.52% top + 5.52% bottom,1200,1600,3:4,10%-90%,10%-90%,None,None,None,WebP,220 KB,3:4 viewport
About,Hero,AboutHeroPortrait,Foreground portrait,/site-images/about/hero-section/roastery.png,Local,Tablet 768x1024,1,Browser measured,384,512,382,510,0.7490,1024,1536,0.6667,1812504,cover,50% 50%,hidden,24px,,0.3730,382.00,573.00,63.00 vertical,Top and bottom,89.01%,10.99%,5.50% top + 5.50% bottom,1200,1600,3:4,10%-90%,10%-90%,None,None,None,WebP,220 KB,3:4 viewport
About,Hero,AboutHeroPortrait,Foreground portrait,/site-images/about/hero-section/roastery.png,Local,Mobile 390x844,1,Browser measured,343,457.33,341,455.33,0.7489,1024,1536,0.6667,1812504,cover,50% 50%,hidden,24px,,0.3330,341.00,511.50,56.17 vertical,Top and bottom,89.02%,10.98%,5.49% top + 5.49% bottom,1200,1600,3:4,10%-90%,10%-90%,None,None,None,WebP,220 KB,3:4 viewport
About,Quote CTA,QuoteCta,Background,/site-images/about/quote-cta-section/background.png,Local,Desktop 1440x900,1,Browser measured,1425,810.59,1425,810.59,1.7580,1024,1536,0.6667,1812504,background (cover),50% 50%,hidden,0px,Live quote/buttons over image,1.3916,1425.00,2137.50,1326.91 vertical,Top and bottom,37.92%,62.08%,31.04% top + 31.04% bottom,2400,1000,12:5,25%-75%,20%-80%,Live quote/buttons over image,keep both sides quiet,keep both sides quiet,WebP,350 KB,Crop direction changes by viewport
About,Quote CTA,QuoteCta,Background,/site-images/about/quote-cta-section/background.png,Local,Laptop 1280x800,1,Browser measured,1265,810.59,1265,810.59,1.5606,1024,1536,0.6667,1812504,background (cover),50% 50%,hidden,0px,Live quote/buttons over image,1.2354,1265.00,1897.50,1086.91 vertical,Top and bottom,42.72%,57.28%,28.64% top + 28.64% bottom,2400,1000,12:5,25%-75%,20%-80%,Live quote/buttons over image,keep both sides quiet,keep both sides quiet,WebP,350 KB,Crop direction changes by viewport
